iter	Passed	Remaining
918	1642	144
919	1644	143
920	1646	141
921	1648	139
922	1650	137
923	1651	135
924	1653	134
925	1655	132
926	1657	130
927	1659	128
928	1660	126
929	1662	125
930	1664	123
931	1666	121
932	1668	119
933	1671	118
934	1673	116
935	1674	114
936	1676	112
937	1678	110
938	1680	109
939	1682	107
940	1684	105
941	1685	103
942	1687	102
943	1689	100
944	1691	98
945	1693	96
946	1694	94
947	1696	93
948	1698	91
949	1700	89
950	1702	87
951	1704	85
952	1706	84
953	1707	82
954	1709	80
955	1711	78
956	1713	76
957	1715	75
958	1716	73
959	1718	71
960	1720	69
961	1722	68
962	1724	66
963	1725	64
964	1727	62
965	1729	60
966	1731	59
967	1733	57
968	1734	55
969	1736	53
970	1738	51
971	1740	50
972	1742	48
973	1744	46
974	1745	44
975	1747	42
976	1749	41
977	1751	39
978	1753	37
979	1755	35
980	1756	34
981	1758	32
982	1760	30
983	1762	28
984	1764	26
985	1766	25
986	1768	23
987	1770	21
988	1772	19
989	1774	17
990	1776	16
991	1777	14
992	1779	12
993	1781	10
994	1783	8
995	1785	7
996	1786	5
997	1788	3
998	1790	1
999	1792	0
